customer_id,age,gender,region,employment_status,income,customer_since,credit_score
100001,23,Female,Alberta,Salaried,84911.0,2018-05-03 17:11:38.081532,691.0
100002,37,Male,Ontarion,Salaried,86240.0,2019-10-02 17:11:38.081597,618.0
100003,25,Female,Quebec,Salaried,48841.0,2019-10-11 17:11:38.081631,614.0
100004,55,Male,Quebec,Salaried,89719.0,2021-07-01 17:11:38.081652,693.0
100005,26,Male,Ontarion,Salaried,136418.0,2018-12-06 17:11:38.081671,757.0
100006,55,Female,Ontarion,Self-Employed,63212.0,2020-03-24 17:11:38.081690,668.0
100007,43,Male,Alberta,Self-Employed,44288.0,2016-01-26 17:11:38.081707,597.0
100008,41,Male,Ontarion,Salaried,76386.0,2020-01-31 17:11:38.081725,699.0
100009,60,Female,British Columbia,Salaried,40456.0,2016-09-23 17:11:38.081742,597.0
100010,34,Male,Ontarion,Salaried,68532.0,2018-08-30 17:11:38.081759,653.0
100011,65,Female,Quebec,Salaried,62374.0,2024-03-03 17:11:38.081777,614.0
100012,55,Male,Quebec,Self-Employed,92307.0,2020-06-07 17:11:38.081794,705.0
100013,65,Female,Ontarion,Unemployed,31092.0,2017-10-11 17:11:38.081811,574.0
100014,27,Female,Ontarion,Salaried,35528.0,2023-06-29 17:11:38.081828,611.0
100015,50,Male,Ontarion,Salaried,84544.0,2018-11-03 17:11:38.081845,701.0
100016,54,Female,Ontarion,Salaried,88561.0,2021-11-21 17:11:38.081861,711.0
100017,22,Female,British Columbia,Salaried,25000.0,2019-09-28 17:11:38.081878,666.0
100018,28,Male,Ontarion,Salaried,113020.0,2019-05-24 17:11:38.081895,720.0
100019,43,Female,British Columbia,Salaried,96891.0,2019-08-19 17:11:38.081911,686.0
100020,53,Female,Ontarion,Salaried,58211.0,2018-01-15 17:11:38.081928,618.0
100021,35,Female,Alberta,Salaried,77389.0,2020-06-30 17:11:38.081944,685.0
100022,45,Female,Quebec,Salaried,25728.0,2020-02-15 17:11:38.081961,585.0
100023,40,Male,Ontarion,Salaried,92605.0,2019-06-10 17:11:38.081978,664.0
100024,48,Female,Alberta,Self-Employed,53843.0,2021-12-18 17:11:38.081995,604.0
100025,44,Female,Ontarion,Self-Employed,66101.0,2016-07-11 17:11:38.082017,687.0
100026,42,Female,Quebec,Unemployed,72253.0,2022-05-31 17:11:38.082038,685.0
100027,65,Male,Quebec,Salaried,105206.0,2021-08-13 17:11:38.082060,748.0
100028,50,Male,Ontarion,Salaried,86683.0,2024-10-26 17:11:38.082081,637.0
100029,22,Female,Alberta,Salaried,66011.0,2024-12-06 17:11:38.082102,638.0
100030,52,Female,Alberta,Self-Employed,60268.0,2017-02-27 17:11:38.082123,613.0
100031,48,Male,British Columbia,Salaried,80636.0,2023-03-06 17:11:38.082144,675.0
100032,65,Female,Alberta,Salaried,72862.0,2021-02-15 17:11:38.082165,636.0
100033,57,Female,Quebec,Salaried,68954.0,2020-10-13 17:11:38.082185,695.0
100034,48,Female,Ontarion,Unemployed,75150.0,2022-04-17 17:11:38.082207,652.0
100035,36,Female,British Columbia,Self-Employed,68239.0,2018-07-10 17:11:38.082227,708.0
100036,46,Male,Quebec,Salaried,35868.0,2018-05-24 17:11:38.082248,630.0
100037,36,Male,Ontarion,Self-Employed,73561.0,2021-10-13 17:11:38.082268,687.0
100038,61,Male,Quebec,Salaried,74456.0,2022-04-05 17:11:38.082289,714.0
100039,40,Male,Alberta,Salaried,78327.0,2018-10-27 17:11:38.082310,670.0
100040,32,Male,Ontarion,Self-Employed,49915.0,2017-08-01 17:11:38.082330,650.0
100041,62,Female,Alberta,Salaried,55003.0,2021-12-25 17:11:38.082351,642.0
100042,54,Male,Quebec,Salaried,115980.0,2018-04-19 17:11:38.082372,700.0
100043,62,Female,Ontarion,Self-Employed,56485.0,2023-05-03 17:11:38.082393,616.0
100044,44,Male,Alberta,Salaried,87730.0,2016-07-29 17:11:38.082414,676.0
100045,33,Female,Alberta,Unemployed,55078.0,2019-11-21 17:11:38.082435,646.0
100046,23,Male,Ontarion,Salaried,27723.0,2024-03-30 17:11:38.082456,614.0
100047,64,Male,Ontarion,Salaried,72403.0,2020-04-25 17:11:38.082477,675.0
100048,42,Female,Quebec,Salaried,90320.0,2021-12-18 17:11:38.082498,703.0
100049,35,Female,British Columbia,Self-Employed,66657.0,2019-01-20 17:11:38.082518,642.0
100050,55,Female,Ontarion,Salaried,25095.0,2024-03-02 17:11:38.082538,521.0
100051,36,Male,Ontarion,Salaried,25000.0,2019-07-28 17:11:38.082559,610.0
100052,42,Male,British Columbia,Salaried,103840.0,2023-09-08 17:11:38.082580,682.0
100053,44,Female,Quebec,Self-Employed,74644.0,2016-04-23 17:11:38.082600,727.0
100054,42,Male,Ontarion,Salaried,90179.0,2016-09-27 17:11:38.082622,696.0
100055,35,Female,Alberta,Salaried,80791.0,2016-08-09 17:11:38.082643,713.0
100056,42,Male,Alberta,Salaried,46240.0,2020-10-29 17:11:38.082664,586.0
100057,33,Female,Alberta,Salaried,68605.0,2017-03-28 17:11:38.082720,687.0
100058,63,Female,Ontarion,Salaried,32575.0,2024-03-28 17:11:38.082743,620.0
100059,26,Male,Alberta,Salaried,98645.0,2021-12-01 17:11:38.082765,709.0
100060,23,Female,British Columbia,Self-Employed,82982.0,2018-12-25 17:11:38.082786,643.0
100061,43,Male,Ontarion,Salaried,93516.0,2021-03-03 17:11:38.082807,669.0
100062,27,Male,British Columbia,Salaried,107267.0,2017-03-13 17:11:38.082828,731.0
100063,65,Male,Ontarion,Salaried,66091.0,2017-10-10 17:11:38.082849,628.0
100064,23,Female,British Columbia,Unemployed,56465.0,2022-08-19 17:11:38.082870,610.0
100065,50,Female,British Columbia,Salaried,72353.0,2016-05-24 17:11:38.082891,643.0
100066,57,Female,British Columbia,Self-Employed,106690.0,2019-07-27 17:11:38.082915,725.0
100067,28,Male,Ontarion,Self-Employed,35844.0,2024-04-19 17:11:38.082936,646.0
100068,37,Male,British Columbia,Salaried,75517.0,2019-09-24 17:11:38.082957,676.0
